"","date","province","confirmed"
"1718","2020-07-31","Seoul",62
"1719","2020-07-31","Busan",62
"1720","2020-07-31","Daegu",93
"1721","2020-07-31","Incheon",31
"1722","2020-07-31","Gwangju",31
"1723","2020-07-31","Daejeon",31
"1724","2020-07-31","Ulsan",31
"1725","2020-07-31","Sejong",31
"1726","2020-07-31","Gyeonggi-do",80
"1727","2020-07-31","Gangwon-do",31
"1728","2020-07-31","Chungcheongbuk-do",31
"1729","2020-07-31","Chungcheongnam-do",62
"1730","2020-07-31","Jeollabuk-do",31
"1731","2020-07-31","Jeollanam-do",31
"1732","2020-07-31","Gyeongsangbuk-do",31
"1733","2020-07-31","Gyeongsangnam-do",62
"1734","2020-07-31","Jeju-do",0
