,place_name,Longitude,Latitude
0,오설록,126.289665,33.305792
1,송악산,126.291922,33.197795
2,금능해수욕장,126.235313,33.389707
3,협재해수욕장,126.23894,33.393684
4,곽지해수욕장,126.304128,33.450439
5,용머리해안,126.314836,33.231598
6,화순해수욕장,126.333804,33.239908
7,갯깍주상절리대,126.397802,33.2412
8,중문해수욕장,126.411685,33.244861
9,쉬리언덕,126.407962,33.245274
10,지삿개 주상절리대,126.425847,33.238176
11,쇠소깍,126.623365,33.252039
12,표선해수욕장,126.841815,33.327588
13,섭지코지,126.930392,33.423795
14,올인 하우스,126.932044,33.425711
15,성산일출봉,126.942129,33.457869
16,수월봉,126.163516,33.294485
17,한화리조트,126.637273,33.44891
18,삼양해수욕장,126.586479,33.525449
19,함덕해수욕장,126.670121,33.543067
20,김녕해수욕장,126.759481,33.558079
21,세화해수욕장,126.861234,33.524921
22,서빈백사해수욕장,126.943256,33.502227
23,하고수동해수욕장,126.958115,33.513275
24,도깨비도로,126.487272,33.451102
25,산굼부리,126.694268,33.432524
26,제주김녕미로공원,126.771842,33.535791
27,강정천,126.48807,33.232683
28,예래동논짓물,126.389384,33.237209
29,남원큰엉,126.703604,33.273098
30,삼나무 숲길,126.630907,33.424278
31,천지연폭포,126.56059,33.244099
32,천제연폭포,126.418492,33.252291
33,정방폭포,126.57095,33.244655
34,소정방폭포,126.577894,33.245155
35,하도 해수욕장,126.90136,33.518414
36,한국에스지아이 제주한일우호연수원/서귀포절경,126.556258,33.240572
37,제2산록도로교차로/서귀포 전망,126.555247,33.291562
38,1100고지휴게소,126.462458,33.357724
39,돈내코유원지야영장,126.583837,33.300954
40,5.16도로숲터널,126.622887,33.361781
41,외돌개,126.544592,33.239072
42,아부오름,126.777281,33.448796
43,용눈이오름,126.833866,33.461426
44,제주절물자연휴양림,126.629024,33.4398
