"행정구역","2020년04월_거주자_총인구수","2020년04월_거주자_연령구간인구수","2020년04월_거주자_0~9세","2020년04월_거주자_10~19세","2020년04월_거주자_20~29세","2020년04월_거주자_30~39세","2020년04월_거주자_40~49세","2020년04월_거주자_50~59세","2020년04월_거주자_60~69세","2020년04월_거주자_70~79세","2020년04월_거주자_80~89세","2020년04월_거주자_90~99세","2020년04월_거주자_100세 이상","2020년04월_남_거주자_총인구수","2020년04월_남_거주자_연령구간인구수","2020년04월_남_거주자_0~9세","2020년04월_남_거주자_10~19세","2020년04월_남_거주자_20~29세","2020년04월_남_거주자_30~39세","2020년04월_남_거주자_40~49세","2020년04월_남_거주자_50~59세","2020년04월_남_거주자_60~69세","2020년04월_남_거주자_70~79세","2020년04월_남_거주자_80~89세","2020년04월_남_거주자_90~99세","2020년04월_남_거주자_100세 이상","2020년04월_여_거주자_총인구수","2020년04월_여_거주자_연령구간인구수","2020년04월_여_거주자_0~9세","2020년04월_여_거주자_10~19세","2020년04월_여_거주자_20~29세","2020년04월_여_거주자_30~39세","2020년04월_여_거주자_40~49세","2020년04월_여_거주자_50~59세","2020년04월_여_거주자_60~69세","2020년04월_여_거주자_70~79세","2020년04월_여_거주자_80~89세","2020년04월_여_거주자_90~99세","2020년04월_여_거주자_100세 이상"
"전국  (0000000000)","51,351,759","51,351,759","4,101,282","4,877,023","6,771,934","6,940,217","8,266,552","8,544,542","6,370,399","3,589,416","1,656,156","228,395","5,843","25,610,169","25,610,169","2,103,672","2,525,428","3,558,844","3,570,023","4,197,860","4,303,393","3,115,514","1,610,462","574,336","49,716","921","25,741,590","25,741,590","1,997,610","2,351,595","3,213,090","3,370,194","4,068,692","4,241,149","3,254,885","1,978,954","1,081,820","178,679","4,922"
"서울특별시  (1100000000)","9,561,199","9,561,199","650,826","803,250","1,451,810","1,483,018","1,524,792","1,499,315","1,177,984","674,122","258,995","36,128","959","4,657,433","4,657,433","334,253","412,055","708,032","742,188","754,916","733,591","556,825","307,792","98,768","8,832","181","4,903,766","4,903,766","316,573","391,195","743,778","740,830","769,876","765,724","621,159","366,330","160,227","27,296","778"
"부산광역시  (2600000000)","3,371,973","3,371,973","239,821","278,455","433,167","425,814","509,466","569,951","508,019","284,280","109,272","13,419","309","1,653,491","1,653,491","123,007","144,128","226,374","217,557","256,115","275,709","241,150","128,009","38,661","2,734","47","1,718,482","1,718,482","116,814","134,327","206,793","208,257","253,351","294,242","266,869","156,271","70,611","10,685","262"
"대구광역시  (2700000000)","2,413,738","2,413,738","185,071","232,076","321,484","299,770","386,016","423,834","311,486","170,955","74,360","8,507","179","1,191,427","1,191,427","94,799","121,566","172,392","155,142","190,157","207,098","148,247","74,387","25,820","1,797","22","1,222,311","1,222,311","90,272","110,510","149,092","144,628","195,859","216,736","163,239","96,568","48,540","6,710","157"
"인천광역시  (2800000000)","2,923,071","2,923,071","237,418","278,422","403,226","411,277","482,385","507,900","344,934","171,756","74,258","11,206","289","1,463,527","1,463,527","121,827","143,283","210,476","212,284","246,001","253,353","170,808","77,865","25,195","2,379","56","1,459,544","1,459,544","115,591","135,139","192,750","198,993","236,384","254,547","174,126","93,891","49,063","8,827","233"
"광주광역시  (2900000000)","1,447,260","1,447,260","124,372","161,479","207,838","189,027","242,383","232,197","155,426","90,594","38,332","5,465","147","715,974","715,974","63,852","83,931","108,399","96,079","120,202","114,880","74,028","40,109","13,321","1,160","13","731,286","731,286","60,520","77,548","99,439","92,948","122,181","117,317","81,398","50,485","25,011","4,305","134"
"대전광역시  (3000000000)","1,461,364","1,461,364","119,367","150,483","211,659","196,784","238,734","240,239","170,722","88,514","39,307","5,431","124","729,057","729,057","61,335","77,942","111,252","102,143","118,871","119,186","83,006","40,111","13,973","1,219","19","732,307","732,307","58,032","72,541","100,407","94,641","119,863","121,053","87,716","48,403","25,334","4,212","105"
"울산광역시  (3100000000)","1,138,123","1,138,123","102,565","114,586","146,888","156,252","188,436","209,656","137,334","57,662","21,786","2,913","45","584,486","584,486","52,762","60,451","82,293","82,628","95,659","106,704","69,327","27,174","7,032","454","2","553,637","553,637","49,803","54,135","64,595","73,624","92,777","102,952","68,007","30,488","14,754","2,459","43"
"세종특별자치시  (3600000000)","344,067","344,067","47,388","40,869","36,274","61,107","65,852","43,000","28,006","13,574","6,875","1,090","32","171,591","171,591","24,288","20,536","18,328","29,757","33,797","22,259","13,903","6,184","2,289","247","3","172,476","172,476","23,100","20,333","17,946","31,350","32,055","20,741","14,103","7,390","4,586","843","29"
"경기도  (4100000000)","13,197,973","13,197,973","1,172,075","1,339,379","1,778,526","1,904,165","2,273,048","2,184,218","1,426,852","740,449","330,832","47,149","1,280","6,637,737","6,637,737","600,374","689,776","935,477","978,955","1,153,272","1,106,110","708,637","335,208","118,776","10,908","244","6,560,236","6,560,236","571,701","649,603","843,049","925,210","1,119,776","1,078,108","718,215","405,241","212,056","36,241","1,036"
"강원도  (4200000000)","1,524,275","1,524,275","108,045","140,425","178,154","167,408","223,985","265,623","227,301","134,303","68,458","10,273","300","767,001","767,001","55,302","73,190","99,924","87,572","115,436","136,213","113,153","60,017","23,890","2,244","60","757,274","757,274","52,743","67,235","78,230","79,836","108,549","129,410","114,148","74,286","44,568","8,029","240"
"충청북도  (4300000000)","1,586,560","1,586,560","127,195","151,801","197,669","196,265","240,481","271,166","210,970","118,476","63,765","8,559","213","803,704","803,704","65,016","79,086","109,803","103,665","124,598","139,360","105,576","53,078","21,617","1,875","30","782,856","782,856","62,179","72,715","87,866","92,600","115,883","131,806","105,394","65,398","42,148","6,684","183"
"충청남도  (4400000000)","2,104,150","2,104,150","178,492","205,103","241,970","272,658","325,856","336,295","264,777","167,132","98,221","13,289","357","1,072,966","1,072,966","91,429","106,457","133,337","146,401","173,642","177,060","131,976","75,317","34,227","3,066","54","1,031,184","1,031,184","87,063","98,646","108,633","126,257","152,214","159,235","132,801","91,815","63,994","10,223","303"
"전라북도  (4500000000)","1,799,992","1,799,992","133,918","178,812","211,390","192,827","270,457","299,549","244,881","165,417","89,751","12,649","341","895,148","895,148","68,676","92,730","113,970","99,417","139,751","154,758","120,779","72,484","29,752","2,782","49","904,844","904,844","65,242","86,082","97,420","93,410","130,706","144,791","124,102","92,933","59,999","9,867","292"
"전라남도  (4600000000)","1,844,731","1,844,731","136,575","170,968","201,065","189,897","261,080","313,284","259,615","189,876","106,877","15,115","379","927,267","927,267","69,667","88,932","111,858","100,107","140,042","167,567","130,403","82,326","33,354","2,967","44","917,464","917,464","66,908","82,036","89,207","89,790","121,038","145,717","129,212","107,550","73,523","12,148","335"
"경상북도  (4700000000)","2,634,294","2,634,294","196,400","230,810","287,439","298,200","384,946","458,920","390,210","237,911","131,567","17,454","437","1,326,696","1,326,696","101,263","121,701","162,105","158,740","200,987","236,979","193,248","105,162","42,930","3,535","46","1,307,598","1,307,598","95,137","109,109","125,334","139,460","183,959","221,941","196,962","132,749","88,637","13,919","391"
"경상남도  (4800000000)","3,333,946","3,333,946","280,070","328,969","381,959","412,484","536,823","579,342","437,143","240,233","120,588","16,024","311","1,678,148","1,678,148","144,128","172,437","211,713","215,211","276,621","295,164","217,280","105,320","37,210","3,023","41","1,655,798","1,655,798","135,942","156,532","170,246","197,273","260,202","284,178","219,863","134,913","83,378","13,001","270"
"제주특별자치도  (5000000000)","665,043","665,043","61,684","71,136","81,416","83,264","111,812","110,053","74,739","44,162","22,912","3,724","141","334,516","334,516","31,694","37,227","43,111","42,177","57,793","57,402","37,168","19,919","7,521","494","10","330,527","330,527","29,990","33,909","38,305","41,087","54,019","52,651","37,571","24,243","15,391","3,230","131"
